Step,Training loss,Reward,Reward std,Completion length,Kullback-Leibler divergence 
210,0.0008,1.2465,1.365837,196.5,0.020186
211,0.0012,1.383833,1.367906,175.833344,0.030105
212,0.0006,0.060667,0.066578,328.666687,0.014201
213,0.0009,0.4455,0.944457,198,0.023212
214,0.0009,0.429,1.255625,323.166687,0.022468
215,0.0018,2.250167,1.103403,93.166672,0.045091
216,0.002,0.1275,0.220854,225.333344,0.050813
217,0.0009,0.425667,0.253789,180.666672,0.023021
218,0.0008,0.057667,0.276804,300.5,0.021183
219,0.0006,0.126167,0.252801,322.833344,0.016209
220,0.0005,0.494833,0.96145,274.5,0.012027
221,0.0006,0.247667,0.197784,259.5,0.016193
222,0.0011,0.1495,0.130742,265.833344,0.027617
223,0.0012,1.011333,1.21994,187.666672,0.028814
224,0.0007,0.5555,1.040896,308,0.017475
225,0.0009,1.355167,1.217239,188.666672,0.022166
226,0.0012,0.793333,0.955964,241.166672,0.02939
227,0.0015,0.063333,0.521502,258.333344,0.037363
228,0.0007,1.185667,1.259225,322.5,0.017136
229,0.0018,0.205,0.372517,176.666672,0.044085
230,0.0015,0.558667,1.10389,183.333344,0.036507
231,0.0008,1.762167,1.297574,241.333344,0.020986
232,0.0009,2.2925,1.068807,159.5,0.022833
233,0.001,0.2655,0.328866,312.5,0.026156
234,0.0062,1.074833,1.249876,125.666672,0.153758
235,0.0009,2.435833,0.822813,109.166672,0.022715
236,0.0012,0.976667,0.824482,157.333344,0.030534
237,0.0022,2.360333,0.764177,115.666672,0.056235
238,0.0019,1.123333,1.170676,158.5,0.048533
239,0.0012,0.234,0.280614,282.333344,0.030434
240,0.0017,0.5215,1.113036,213.5,0.042305
241,0.0034,0.043,0.104278,184.666672,0.084625
242,0.0005,0.835,0.942553,221,0.013706
243,0.0013,0.778,1.377392,366.833344,0.03139
244,0.001,1.820833,1.293813,183.833344,0.025181
245,0.0012,0.7475,0.91872,220.833344,0.030864
246,0.0013,1.591167,1.222481,269,0.032643
247,0.0021,2.295667,1.065598,111.333336,0.052348
248,0.0029,0.495333,0.293069,206.5,0.071406
249,0.0014,1.085333,1.156103,205.333344,0.034372
250,0.0021,1.012,1.221059,165.666672,0.052281
251,0.0012,0.379,0.243651,229.333344,0.028977
252,0.0017,2.298167,0.917509,127.666672,0.04231
253,0.004,1.783,1.273398,100.833336,0.100746
254,0.001,0.3125,0.262576,287.333344,0.025851
255,0.0009,0.474167,0.92549,375.333344,0.022135
256,0.0009,0.5455,1.069227,300.333344,0.022168
257,0.0034,1.285667,1.058429,159.166672,0.08524
258,0.0006,0.4065,0.200369,197.333344,0.015359
259,0.0015,0.813,0.806352,179.5,0.036968
260,0.0013,0.305,0.284944,250.166672,0.031559
261,0.0024,1.499667,1.250193,234.166672,0.059305
262,0.0033,0.3265,1.157458,222.666672,0.083046
263,0.0015,2.299667,0.876544,152,0.036405
264,0.002,1.642333,1.227943,105,0.049933
265,0.0015,0.854167,0.898753,216.666672,0.038092
266,0.0023,0.451,0.272071,219.666672,0.058103
267,0.0023,0.741833,0.951066,181.5,0.058343
268,0.0027,0.894333,0.843582,190.833344,0.068372
269,0.0021,1.019,1.244487,191.5,0.051983
270,0.0016,1.127333,1.2591,197.833344,0.040611
271,0.0012,2.179,0.764301,194.333344,0.029291
272,0.002,0.695333,0.93367,181.5,0.050564
273,0.0006,0.768,0.757934,226.5,0.015489
274,0.0017,0.0945,0.361643,239.166672,0.041729
275,0.0014,2.274,0.796292,136.5,0.034056
276,0.0032,1.417333,1.169772,187.833344,0.079728
277,0.0018,0.107833,0.148056,266,0.045414
278,0.0008,0.989333,1.190467,309.5,0.021201
279,0.0005,0.777333,0.92336,235.5,0.012757
280,0.0008,0.5485,0.088469,209.666672,0.020371
281,0.0011,0.351833,1.164046,355,0.026765
282,0.0031,1.779834,1.119981,111.666672,0.077164
